date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-06-28,PE,Abreu e Lima,city,477,56,True,99990,2600054,477.0477,0.1174
2020-06-28,PE,Afogados da Ingazeira,city,75,4,True,37259,2600104,201.29365,0.0533
2020-06-28,PE,Afrânio,city,65,1,True,19635,2600203,331.04151,0.0154
2020-06-28,PE,Agrestina,city,167,13,True,24885,2600302,671.087,0.0778
2020-06-28,PE,Água Preta,city,681,26,True,36771,2600401,1852.00294,0.0382
2020-06-28,PE,Águas Belas,city,341,16,True,43443,2600500,784.93658,0.0469
2020-06-28,PE,Alagoinha,city,39,1,True,14636,2600609,266.46625,0.0256
2020-06-28,PE,Aliança,city,176,17,True,38386,2600708,458.50049,0.0966
2020-06-28,PE,Altinho,city,135,3,True,22972,2600807,587.67195,0.0222
2020-06-28,PE,Amaraji,city,98,15,True,22829,2600906,429.27855,0.1531
2020-06-28,PE,Angelim,city,12,0,True,11150,2601003,107.62332,0.0
2020-06-28,PE,Araçoiaba,city,58,8,True,20524,2601052,282.59599,0.1379
2020-06-28,PE,Araripina,city,203,5,True,84418,2601102,240.47004,0.0246
2020-06-28,PE,Arcoverde,city,279,21,True,74338,2601201,375.31276,0.0753
2020-06-28,PE,Barra de Guabiraba,city,84,2,True,14385,2601300,583.94161,0.0238
2020-06-28,PE,Barreiros,city,219,21,True,42659,2601409,513.3735,0.0959
2020-06-28,PE,Belém de Maria,city,29,0,True,12073,2601508,240.20542,0.0
2020-06-28,PE,Belém do São Francisco,city,10,0,True,20729,2601607,48.24159,0.0
2020-06-28,PE,Belo Jardim,city,105,6,True,76439,2601706,137.36443,0.0571
2020-06-28,PE,Betânia,city,14,1,True,12719,2601805,110.07155,0.0714
2020-06-28,PE,Bezerros,city,217,12,True,60798,2601904,356.91964,0.0553
2020-06-28,PE,Bodocó,city,28,1,True,38146,2602001,73.40219,0.0357
2020-06-28,PE,Bom Conselho,city,148,4,True,48554,2602100,304.81526,0.027
2020-06-28,PE,Bom Jardim,city,105,12,True,39184,2602209,267.96652,0.1143
2020-06-28,PE,Bonito,city,103,11,True,38134,2602308,270.10017,0.1068
2020-06-28,PE,Brejão,city,1,0,True,8993,2602407,11.11976,0.0
2020-06-28,PE,Brejinho,city,28,0,True,7487,2602506,373.98157,0.0
2020-06-28,PE,Brejo da Madre de Deus,city,294,5,True,50742,2602605,579.40168,0.017
2020-06-28,PE,Buenos Aires,city,31,3,True,13155,2602704,235.65184,0.0968
2020-06-28,PE,Buíque,city,52,1,True,58378,2602803,89.07465,0.0192
2020-06-28,PE,Cabo de Santo Agostinho,city,917,161,True,207048,2602902,442.89247,0.1756
2020-06-28,PE,Cabrobó,city,46,1,True,34221,2603009,134.42039,0.0217
2020-06-28,PE,Cachoeirinha,city,99,5,True,20380,2603108,485.77036,0.0505
2020-06-28,PE,Caetés,city,76,3,True,28739,2603207,264.44901,0.0395
2020-06-28,PE,Calçado,city,19,0,True,11053,2603306,171.89903,0.0
2020-06-28,PE,Calumbi,city,25,1,True,5750,2603405,434.78261,0.04
